 x , y , z , u , v , p 
0 , 0.58 , 0 , 0 , 0 , 0.00924792
0 , 0.586667 , 0 , 0 , 0 , 0.00900462
0 , 0.593333 , 0 , 0 , 0 , 0.00879593
0 , 0.6 , 0 , 0 , 0 , 0.00862094
0 , 0.606667 , 0 , 0 , 0 , 0.0084786
0 , 0.613333 , 0 , 0 , 0 , 0.00836775
0 , 0.62 , 0 , 0 , 0 , 0.00828717
0 , 0.626667 , 0 , 0 , 0 , 0.00823554
0 , 0.633333 , 0 , 0 , 0 , 0.00821146
0 , 0.64 , 0 , 0 , 0 , 0.00821351
0 , 0.646667 , 0 , 0 , 0 , 0.00824019
0 , 0.653333 , 0 , 0 , 0 , 0.00828999
0 , 0.66 , 0 , 0 , 0 , 0.00836136
0 , 0.666667 , 0 , 0 , 0 , 0.00845276
0 , 0.673333 , 0 , 0 , 0 , 0.00856263
0 , 0.68 , 0 , 0 , 0 , 0.00868943
0 , 0.686667 , 0 , 0 , 0 , 0.00883164
0 , 0.693333 , 0 , 0 , 0 , 0.00898776
0 , 0.7 , 0 , 0 , 0 , 0.00915632
0 , 0.706667 , 0 , 0 , 0 , 0.00933591
0 , 0.713333 , 0 , 0 , 0 , 0.00952516
0 , 0.72 , 0 , 0 , 0 , 0.00972275
0 , 0.726667 , 0 , 0 , 0 , 0.00992743
0 , 0.733333 , 0 , 0 , 0 , 0.010138
0 , 0.74 , 0 , 0 , 0 , 0.0103534
0 , 0.746667 , 0 , 0 , 0 , 0.0105725
0 , 0.753333 , 0 , 0 , 0 , 0.0107943
0 , 0.76 , 0 , 0 , 0 , 0.0110181
0 , 0.766667 , 0 , 0 , 0 , 0.0112429
0 , 0.773333 , 0 , 0 , 0 , 0.0114682
0 , 0.78 , 0 , 0 , 0 , 0.0116931
0 , 0.786667 , 0 , 0 , 0 , 0.0119173
0 , 0.793333 , 0 , 0 , 0 , 0.0121401
0 , 0.8 , 0 , 0 , 0 , 0.0123614
0 , 0.806667 , 0 , 0 , 0 , 0.0125807
0 , 0.813333 , 0 , 0 , 0 , 0.0127978
0 , 0.82 , 0 , 0 , 0 , 0.0130126
0 , 0.826667 , 0 , 0 , 0 , 0.0132248
0 , 0.833333 , 0 , 0 , 0 , 0.0134342
0 , 0.84 , 0 , 0 , 0 , 0.0136404
0 , 0.846667 , 0 , 0 , 0 , 0.0138429
0 , 0.853333 , 0 , 0 , 0 , 0.0140406
0 , 0.86 , 0 , 0 , 0 , 0.014232
0 , 0.866667 , 0 , 0 , 0 , 0.0144145
0 , 0.873333 , 0 , 0 , 0 , 0.0145842
0 , 0.88 , 0 , 0 , 0 , 0.0147351
0 , 0.886667 , 0 , 0 , 0 , 0.0148583
0 , 0.893333 , 0 , 0 , 0 , 0.0149411
0 , 0.9 , 0 , 0 , 0 , 0.0149644
0 , 0.906667 , 0 , 0 , 0 , 0.0149013
0 , 0.913333 , 0 , 0 , 0 , 0.0147129
0 , 0.92 , 0 , 0 , 0 , 0.0143437
0 , 0.926667 , 0 , 0 , 0 , 0.0137135
0 , 0.933333 , 0 , 0 , 0 , 0.0127056
0 , 0.94 , 0 , 0 , 0 , 0.0111461
0 , 0.946667 , 0 , 0 , 0 , 0.00876572
0 , 0.953333 , 0 , 0 , 0 , 0.00512009
0 , 0.96 , 0 , 0 , 0 , -0.000595376
0 , 0.966667 , 0 , 0 , 0 , -0.0100277
0 , 0.973333 , 0 , 0 , 0 , -0.0270367
0 , 0.98 , 0 , 0 , 0 , -0.0614396
0 , 0.986667 , 0 , 0 , 0 , -0.136328
0 , 0.993333 , 0 , 0 , 0 , -0.187897
0.00666667 , 0 , 0 , 0 , 0 , 0.0390095
0.00666667 , 0.00666667 , 0 , 6.81538e-06 , -6.84286e-06 , 0.0390052
0.00666667 , 0.0133333 , 0 , 3.23609e-05 , -5.28491e-05 , 0.0389957
0.00666667 , 0.02 , 0 , 5.71517e-05 , -0.000140031 , 0.0389866
0.00666667 , 0.0266667 , 0 , 7.63259e-05 , -0.000261758 , 0.0389813
0.00666667 , 0.0333333 , 0 , 8.9482e-05 , -0.000409095 , 0.038982
0.00666667 , 0.04 , 0 , 9.7364e-05 , -0.000573234 , 0.03899
0.00666667 , 0.0466667 , 0 , 0.00010085 , -0.000746271 , 0.0390061
